appellee,firstParagraphPosition,_affirm,_conclude,_denied,_dismiss,_grant,_ordered,_reject,_reverse,affirm,conclude,denied,dismiss,grant,ordered,reject,reverse,party1MentionsFirstParagraph,party1MentionsWholeDocument,party2MentionsFirstParagraph,party2MentionsWholeDocument,
none,0.0580638531104,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': True, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},1,0,0,1,
party1,0.124784287945,{u'conclude': False, u'_affirm': True, u'affirm': False, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': True, u'_reject': True, u'_dismiss': True, u'_ordered': True, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},33,45,0,4,
none,0.132152111492,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': False, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},4,11,0,3,
party1,0.0492788699982,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': True, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},2,52,0,1,
none,0.0569616972754,{u'conclude': False, u'_affirm': True, u'affirm': False, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': True, u'_reject': False, u'_dismiss': True, u'_ordered': True, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},14,71,0,1,
party1,0.0673937603198,{u'conclude': False, u'_affirm': True, u'affirm': False, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': True, u'_reject': True, u'_dismiss': True, u'_ordered': False, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},9,59,0,1,
6,1,

party1,0.0986815054412,{u'conclude': False, u'_affirm': False, u'affirm': False, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': True, u'_dismiss': True, u'_ordered': True, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},6,49,1,2,
party1,0.0986804949428,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': False, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': True, u'dismiss': False, u'_denied': True, u'reverse': False},2,30,0,1,
none,0.063099219621,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': True, u'_reject': True, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},1,1,0,1,
none,0.488902589396,{u'conclude': False, u'_affirm': False, u'affirm': False, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': True, u'_reject': False, u'_dismiss': False, u'_ordered': True, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},3,18,0,2,
party1,0.114303527823,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': True, u'_reverse': False, u'_reject': True, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},3,14,0,1,
party1,0.103917898406,{u'conclude': False, u'_affirm': True, u'affirm': True, u'ordered': False, u'grant': False, u'reject': False, u'_grant': False, u'_reverse': False, u'_reject': True, u'_dismiss': False, u'_ordered': False, u'denied': False, u'_conclude': False, u'dismiss': False, u'_denied': True, u'reverse': False},6,27,1,2,
